generation	fitness	corner	c	a1	a2	b1	b2	b3	x	o1	o2	wp	ww	we
1138	60.8	[47, 41, 45, 64, 53]	[-16, -11, -19, -20, -39]	[-10, -1, -1, -2, -10]	[2, -4, -2, 1, -7]	[-4, -5, 0, 0, -1]	[-4, -4, -2, 0, -2]	[5, -2, 2, 4, 15]	[-35, -39, -32, -25, -24]	[-10, -8, -5, -4, -7]	[-8, -7, -6, 0, -12]	[4, 4, 3, 13, 13]	[10002, 10000, 9996, 9985, 10000]	[96, 86, 102, 106, 90]
1139	62.2	[47, 46, 45, 67, 50]	[-19, -5, -18, -33, -36]	[-6, -1, -1, -3, -12]	[-2, -3, -2, 1, -12]	[-3, -2, -2, 0, -1]	[-3, -4, -1, -2, -5]	[1, -2, 3, 3, 14]	[-26, -37, -32, -26, -27]	[-11, -10, -6, -3, -6]	[-10, -8, -6, -2, -9]	[4, 4, 4, 11, 8]	[10003, 9997, 9996, 9987, 9999]	[90, 83, 98, 98, 94]
1140	59.7	[44, 39, 41, 64, 47]	[-19, -11, -18, -18, -36]	[-6, -1, 1, -2, -10]	[-5, -1, -2, 1, -11]	[-5, -2, -1, -1, 5]	[-1, -3, -2, 0, -3]	[-1, -2, 3, 4, 6]	[-27, -36, -32, -25, -26]	[-12, -8, -6, -5, -8]	[-4, -7, -6, -4, -12]	[4, 4, 4, 13, 9]	[10000, 10001, 9996, 9987, 9998]	[87, 82, 102, 97, 91]
1141	61.1	[42, 38, 42, 66, 50]	[-15, -8, -21, -20, -40]	[-10, -1, -1, -6, -10]	[2, -2, -2, 1, -10]	[-7, -2, -2, 1, 2]	[-4, -2, -2, -2, -3]	[1, -3, 2, 3, 2]	[-25, -37, -32, -23, -24]	[-21, -9, -5, -4, -10]	[-10, -6, -6, -1, -11]	[4, 4, 4, 8, 10]	[10001, 10001, 9999, 9986, 9999]	[77, 81, 102, 107, 90]
1142	60.1	[41, 37, 48, 65, 53]	[-18, -15, -22, -20, -39]	[-8, -1, -1, -2, -11]	[2, -5, -3, 0, -10]	[-4, -2, 0, 0, 2]	[-4, -5, -2, 1, 0]	[5, -2, 4, 2, 13]	[-35, -42, -31, -25, -25]	[-7, -10, -5, -2, -6]	[-11, -7, -6, -3, -12]	[1, 4, 3, 10, 13]	[10002, 10000, 9996, 9985, 10003]	[93, 86, 102, 106, 90]
1143	59.0	[44, 40, 42, 65, 52]	[-19, -12, -20, -21, -36]	[-2, -1, -1, -2, -9]	[-4, -4, -3, -1, -6]	[-5, -2, -2, -1, 5]	[-4, -4, -1, -3, -5]	[1, -5, 4, 3, 13]	[-25, -36, -28, -26, -25]	[-21, -9, -5, -4, -6]	[-7, -7, -6, 0, -13]	[4, 4, 4, 10, 14]	[10001, 10003, 9996, 9987, 10002]	[90, 83, 102, 96, 91]
1144	60.3	[44, 40, 42, 65, 52]	[-19, -12, -20, -21, -36]	[-2, -1, -1, -2, -9]	[-4, -4, -3, -1, -6]	[-5, -2, -2, -1, 5]	[-4, -4, -1, -3, -5]	[1, -5, 4, 3, 13]	[-25, -36, -28, -26, -25]	[-21, -9, -5, -4, -6]	[-7, -7, -6, 0, -13]	[4, 4, 4, 10, 14]	[10001, 10003, 9996, 9987, 10002]	[90, 83, 102, 96, 91]
1145	59.2	[42, 38, 42, 66, 50]	[-15, -8, -18, -20, -40]	[-10, -1, -1, -6, -10]	[2, -2, -2, 1, -10]	[-7, -2, -2, 1, 2]	[-4, -2, -2, -2, -3]	[1, -3, 2, 3, 2]	[-25, -37, -32, -23, -24]	[-21, -9, -5, -4, -10]	[-10, -6, -6, -1, -11]	[4, 4, 4, 8, 7]	[10001, 10001, 9999, 9986, 9999]	[77, 81, 102, 107, 90]
1146	60.1	[44, 40, 42, 68, 47]	[-19, -12, -20, -21, -36]	[-2, -1, -1, -2, -9]	[-4, -3, -2, 0, -14]	[-5, -2, -2, -2, 5]	[-4, -4, -2, -3, -5]	[1, -3, 3, 4, 12]	[-25, -36, -31, -27, -25]	[-18, -9, -5, -4, -6]	[-7, -7, -6, 0, -13]	[4, 4, 4, 10, 14]	[10001, 10003, 9996, 9987, 10002]	[90, 83, 102, 96, 88]
1147	64.0	[42, 38, 42, 66, 50]	[-18, -8, -18, -20, -40]	[-10, -1, -1, -6, -10]	[2, -2, -2, 1, -10]	[-7, -2, -2, 1, 2]	[-4, -2, -2, -2, -3]	[1, -3, 2, 3, 2]	[-25, -37, -32, -20, -24]	[-21, -9, -5, -4, -10]	[-10, -6, -6, -1, -11]	[4, 4, 4, 8, 7]	[10001, 10001, 9999, 9986, 9999]	[77, 81, 102, 107, 90]
1148	59.7	[42, 38, 42, 66, 50]	[-18, -8, -18, -17, -40]	[-10, -1, -1, -6, -10]	[2, -2, -2, 1, -10]	[-7, -2, -2, 1, 2]	[-4, -2, -2, -2, -3]	[1, -3, 2, 3, 2]	[-25, -37, -32, -20, -24]	[-21, -9, -5, -4, -10]	[-10, -6, -6, -1, -11]	[4, 4, 4, 8, 7]	[10001, 10001, 9999, 9986, 9999]	[77, 81, 102, 107, 90]
1149	61.8	[44, 40, 42, 68, 47]	[-19, -12, -20, -21, -36]	[-2, -1, -1, -2, -9]	[-4, -3, -2, 0, -14]	[-5, -2, -2, 0, 5]	[-4, -4, -2, -3, -5]	[1, -3, 3, 4, 13]	[-25, -36, -31, -27, -25]	[-18, -9, -5, -4, -6]	[-7, -7, -6, 0, -13]	[4, 4, 4, 10, 14]	[9998, 10003, 9996, 9987, 10002]	[90, 83, 102, 96, 88]
1150	59.3	[44, 40, 42, 65, 52]	[-19, -12, -20, -21, -36]	[-2, -1, -1, -2, -9]	[-4, -4, -3, -1, -6]	[-5, -2, -2, -1, 5]	[-4, -4, -1, -3, -5]	[1, -5, 4, 3, 13]	[-25, -36, -28, -26, -25]	[-21, -9, -5, -4, -6]	[-7, -7, -6, 0, -13]	[4, 4, 4, 10, 14]	[10001, 10003, 9996, 9987, 10002]	[100, 83, 99, 96, 91]
1151	62.8	[44, 40, 42, 65, 52]	[-19, -12, -20, -21, -36]	[-2, -1, -1, -2, -9]	[-4, -4, -3, -1, -6]	[-5, -2, -2, -1, 5]	[-4, -4, -1, -3, -5]	[1, -5, 4, 3, 13]	[-25, -36, -28, -26, -25]	[-21, -9, -5, -4, -6]	[-7, -7, -6, 0, -13]	[4, 4, 4, 10, 14]	[10001, 10003, 9996, 9987, 9999]	[100, 83, 99, 96, 91]
1152	60.8	[44, 40, 42, 68, 47]	[-19, -12, -20, -21, -36]	[-2, -1, -1, -2, -9]	[-4, -3, -2, 0, -14]	[-5, -2, -2, 0, 5]	[-4, -4, -2, -3, -5]	[1, -3, 3, 4, 13]	[-25, -26, -31, -27, -25]	[-18, -9, -5, -4, -6]	[-7, -7, -6, 0, -13]	[4, 4, 4, 10, 14]	[9998, 10003, 9996, 9987, 10002]	[90, 83, 102, 96, 88]
